Year,Month,Company A,Company B,Company C,Company D,Company E,Company F,Company G,Company H,Company I,Company J,Company K,Company L,Company M,Company N,Company O,Company P,Company Q,Company R,Company S,Company T,Company U,Company V,Company W,Company X
1992,Jan,51.21,248.00,444.79,641.57,838.36,1035.14,1231.93,1428.71,1625.50,1822.29,2019.07,2215.86,2412.64,2609.43,2806.21,3003.00,3199.79,3396.57,3593.36,3790.14,3986.93,4183.71,4380.50,4577.29
1992,Feb,50.75,264.00,477.25,690.50,903.75,1117.00,1330.25,1543.50,1756.75,1970.00,2183.25,2396.50,2609.75,2823.00,3036.25,3249.50,3462.75,3676.00,3889.25,4102.50,4315.75,4529.00,4742.25,4955.50
1992,Mar,50.29,280.00,509.71,739.43,969.14,1198.86,1428.57,1658.29,1888.00,2117.71,2347.43,2577.14,2806.86,3036.57,3266.29,3496.00,3725.71,3955.43,4185.14,4414.86,4644.57,4874.29,5104.00,5333.71
1992,Apr,49.82,296.00,542.18,788.36,1034.54,1280.71,1526.89,1773.07,2019.25,2265.43,2511.61,2757.79,3003.96,3250.14,3496.32,3742.50,3988.68,4234.86,4481.04,4727.21,4973.39,5219.57,5465.75,5711.93
1992,May,49.36,250.00,450.64,651.29,851.93,1052.57,1253.21,1453.86,1654.50,1855.14,2055.79,2256.43,2457.07,2657.71,2858.36,3059.00,3259.64,3460.29,3660.93,3861.57,4062.21,4262.86,4463.50,4664.14
1992,Jun,48.89,269.00,489.11,709.21,929.32,1149.43,1369.54,1589.64,1809.75,2029.86,2249.96,2470.07,2690.18,2910.29,3130.39,3350.50,3570.61,3790.71,4010.82,4230.93,4451.04,4671.14,4891.25,5111.36
1992,Jul,48.43,225.00,401.57,578.14,754.71,931.29,1107.86,1284.43,1461.00,1637.57,1814.14,1990.71,2167.29,2343.86,2520.43,2697.00,2873.57,3050.14,3226.71,3403.29,3579.86,3756.43,3933.00,4109.57
1992,Aug,47.96,223.00,398.04,573.07,748.11,923.14,1098.18,1273.21,1448.25,1623.29,1798.32,1973.36,2148.39,2323.43,2498.46,2673.50,2848.54,3023.57,3198.61,3373.64,3548.68,3723.71,3898.75,4073.79
1992,Sep,47.50,210.50,373.50,536.50,699.50,862.50,1025.50,1188.50,1351.50,1514.50,1677.50,1840.50,2003.50,2166.50,2329.50,2492.50,2655.50,2818.50,2981.50,3144.50,3307.50,3470.50,3633.50,3796.50
1992,Oct,47.04,198.00,348.96,499.93,650.89,801.86,952.82,1103.79,1254.75,1405.71,1556.68,1707.64,1858.61,2009.57,2160.54,2311.50,2462.46,2613.43,2764.39,2915.36,3066.32,3217.29,3368.25,3519.21
1992,Nov,46.57,185.50,324.43,463.36,602.29,741.21,880.14,1019.07,1158.00,1296.93,1435.86,1574.79,1713.71,1852.64,1991.57,2130.50,2269.43,2408.36,2547.29,2686.21,2825.14,2964.07,3103.00,3241.93
1992,Dec,46.11,173.00,299.89,426.79,553.68,680.57,807.46,934.36,1061.25,1188.14,1315.04,1441.93,1568.82,1695.71,1822.61,1949.50,2076.39,2203.29,2330.18,2457.07,2583.96,2710.86,2837.75,2964.64
1993,Jan,45.64,160.50,275.36,390.21,505.07,619.93,734.79,849.64,964.50,1079.36,1194.21,1309.07,1423.93,1538.79,1653.64,1768.50,1883.36,1998.21,2113.07,2227.93,2342.79,2457.64,2572.50,2687.36
1993,Feb,45.18,175.00,304.82,434.64,564.46,694.29,824.11,953.93,1083.75,1213.57,1343.39,1473.21,1603.04,1732.86,1862.68,1992.50,2122.32,2252.14,2381.96,2511.79,2641.61,2771.43,2901.25,3031.07
1993,Mar,44.71,185.00,325.29,465.57,605.86,746.14,886.43,1026.71,1167.00,1307.29,1447.57,1587.86,1728.14,1868.43,2008.71,2149.00,2289.29,2429.57,2569.86,2710.14,2850.43,2990.71,3131.00,3271.29
1993,Apr,44.25,195.00,345.75,496.50,647.25,798.00,948.75,1099.50,1250.25,1401.00,1551.75,1702.50,1853.25,2004.00,2154.75,2305.50,2456.25,2607.00,2757.75,2908.50,3059.25,3210.00,3360.75,3511.50
1993,May,43.79,205.00,366.21,527.43,688.64,849.86,1011.07,1172.29,1333.50,1494.71,1655.93,1817.14,1978.36,2139.57,2300.79,2462.00,2623.21,2784.43,2945.64,3106.86,3268.07,3429.29,3590.50,3751.71
1993,Jun,43.32,215.00,386.68,558.36,730.04,901.71,1073.39,1245.07,1416.75,1588.43,1760.11,1931.79,2103.46,2275.14,2446.82,2618.50,2790.18,2961.86,3133.54,3305.21,3476.89,3648.57,3820.25,3991.93
1993,Jul,75.00,225.00,375.00,525.00,675.00,825.00,975.00,1125.00,1275.00,1425.00,1575.00,1725.00,1875.00,2025.00,2175.00,2325.00,2475.00,2625.00,2775.00,2925.00,3075.00,3225.00,3375.00,3525.00
1993,Aug,89.00,235.00,381.00,527.00,673.00,819.00,965.00,1111.00,1257.00,1403.00,1549.00,1695.00,1841.00,1987.00,2133.00,2279.00,2425.00,2571.00,2717.00,2863.00,3009.00,3155.00,3301.00,3447.00
1993,Sep,77.86,245.00,412.14,579.28,746.42,913.56,1080.70,1247.84,1414.98,1582.12,1749.26,1916.40,2083.54,2250.68,2417.82,2584.96,2752.10,2919.24,3086.39,3253.53,3420.67,3587.81,3754.95,3922.09
1993,Oct,83.19,255.00,426.81,598.61,770.42,942.23,1114.04,1285.84,1457.65,1629.46,1801.27,1973.07,2144.88,2316.69,2488.50,2660.30,2832.11,3003.92,3175.73,3347.53,3519.34,3691.15,3862.96,4034.76
1993,Nov,88.53,265.00,441.47,617.95,794.42,970.90,1147.37,1323.85,1500.32,1676.80,1853.27,2029.74,2206.22,2382.69,2559.17,2735.64,2912.12,3088.59,3265.07,3441.54,3618.02,3794.49,3970.96,4147.44
1993,Dec,93.86,275.00,456.14,637.28,818.42,999.57,1180.71,1361.85,1542.99,1724.13,1905.27,2086.42,2267.56,2448.70,2629.84,2810.98,2992.12,3173.27,3354.41,3535.55,3716.69,3897.83,4078.97,4260.11
1994,Jan,99.19,285.00,470.81,656.62,842.43,1028.23,1214.04,1399.85,1585.66,1771.47,1957.28,2143.09,2328.90,2514.70,2700.51,2886.32,3072.13,3257.94,3443.75,3629.56,3815.36,4001.17,4186.98,4372.79
1994,Feb,104.52,295.00,485.48,675.95,866.43,1056.90,1247.38,1437.85,1628.33,1818.81,2009.28,2199.76,2390.23,2580.71,2771.18,2961.66,3152.14,3342.61,3533.09,3723.56,3914.04,4104.52,4294.99,4485.47
1994,Mar,109.86,305.00,500.14,695.29,890.43,1085.57,1280.71,1475.86,1671.00,1866.14,2061.29,2256.43,2451.57,2646.71,2841.86,3037.00,3232.14,3427.29,3622.43,3817.57,4012.71,4207.86,4403.00,4598.14
1994,Apr,115.19,315.00,514.81,714.62,914.43,1114.24,1314.05,1513.86,1713.67,1913.48,2113.29,2313.10,2512.91,2712.72,2912.53,3112.34,3312.15,3511.96,3711.77,3911.58,4111.39,4311.20,4511.01,4710.82
1994,May,400.55,325.00,249.45,173.90,98.35,22.80,69.00,115.20,161.40,207.60,253.80,300.00,346.20,392.40,438.60,484.80,531.00,577.20,623.40,669.60,715.80,762.00,808.20,854.40
1994,Jun,125.86,335.00,544.14,753.29,962.43,1171.58,1380.72,1589.86,1799.01,2008.15,2217.30,2426.44,2635.59,2844.73,3053.87,3263.02,3472.16,3681.31,3890.45,4099.59,4308.74,4517.88,4727.03,4936.17
1994,Jul,131.19,345.00,558.81,772.62,986.43,1200.24,1414.06,1627.87,1841.68,2055.49,2269.30,2483.11,2696.92,2910.73,3124.55,3338.36,3552.17,3765.98,3979.79,4193.60,4407.41,4621.22,4835.04,5048.85
1994,Aug,136.52,355.00,573.48,791.96,1010.43,1228.91,1447.39,1665.87,1884.35,2102.83,2321.30,2539.78,2758.26,2976.74,3195.22,3413.70,3632.17,3850.65,4069.13,4287.61,4506.09,4724.57,4943.04,5161.52
1994,Sep,141.85,365.00,588.15,811.29,1034.44,1257.58,1480.73,1703.87,1927.02,2150.16,2373.31,2596.45,2819.60,3042.74,3265.89,3489.04,3712.18,3935.33,4158.47,4381.62,4604.76,4827.91,5051.05,5274.20
1994,Oct,147.19,375.00,602.81,830.63,1058.44,1286.25,1514.06,1741.88,1969.69,2197.50,2425.31,2653.13,2880.94,3108.75,3336.56,3564.38,3792.19,4020.00,4247.81,4475.63,4703.44,4931.25,5159.06,5386.88
1994,Nov,152.52,385.00,617.48,849.96,1082.44,1314.92,1547.40,1779.88,2012.36,2244.84,2477.32,2709.80,2942.28,3174.76,3407.23,3639.71,3872.19,4104.67,4337.15,4569.63,4802.11,5034.59,5267.07,5499.55
1994,Dec,157.85,395.00,632.15,869.29,1106.44,1343.59,1580.73,1817.88,2055.03,2292.17,2529.32,2766.47,3003.61,3240.76,3477.91,3715.05,3952.20,4189.35,4426.49,4663.64,4900.79,5137.93,5375.08,5612.23
1995,Jan,163.19,405.00,646.81,888.63,1130.44,1372.26,1614.07,1855.88,2097.70,2339.51,2581.32,2823.14,3064.95,3306.77,3548.58,3790.39,4032.21,4274.02,4515.83,4757.65,4999.46,5241.28,5483.09,5724.90
1995,Feb,168.52,415.00,661.48,907.96,1154.44,1400.92,1647.40,1893.89,2140.37,2386.85,2633.33,2879.81,3126.29,3372.77,3619.25,3865.73,4112.21,4358.69,4605.17,4851.66,5098.14,5344.62,5591.10,5837.58
1995,Mar,173.85,425.00,676.15,927.30,1178.44,1429.59,1680.74,1931.89,2183.04,2434.18,2685.33,2936.48,3187.63,3438.78,3689.92,3941.07,4192.22,4443.37,4694.52,4945.66,5196.81,5447.96,5699.11,5950.26
1995,Apr,179.18,435.00,690.82,946.63,1202.45,1458.26,1714.08,1969.89,2225.71,2481.52,2737.34,2993.15,3248.97,3504.78,3760.60,4016.41,4272.23,4528.04,4783.86,5039.67,5295.49,5551.30,5807.12,6062.93
1995,May,184.52,445.00,705.48,965.96,1226.45,1486.93,1747.41,2007.89,2268.38,2528.86,2789.34,3049.82,3310.30,3570.79,3831.27,4091.75,4352.23,4612.71,4873.20,5133.68,5394.16,5654.64,5915.13,6175.61
1995,Jun,189.85,455.00,720.15,985.30,1250.45,1515.60,1780.75,2045.90,2311.04,2576.19,2841.34,3106.49,3371.64,3636.79,3901.94,4167.09,4432.24,4697.39,4962.54,5227.69,5492.84,5757.98,6023.13,6288.28
1995,Jul,195.18,465.00,734.82,1004.63,1274.45,1544.27,1814.08,2083.90,2353.71,2623.53,2893.35,3163.16,3432.98,3702.80,3972.61,4242.43,4512.24,4782.06,5051.88,5321.69,5591.51,5861.33,6131.14,6400.96
1995,Aug,200.52,475.00,749.48,1023.97,1298.45,1572.93,1847.42,2121.90,2396.38,2670.87,2945.35,3219.83,3494.32,3768.80,4043.28,4317.77,4592.25,4866.73,5141.22,5415.70,5690.18,5964.67,6239.15,6513.64
1995,Sep,205.85,485.00,764.15,1043.30,1322.45,1601.60,1880.75,2159.90,2439.05,2718.20,2997.35,3276.51,3555.66,3834.81,4113.96,4393.11,4672.26,4951.41,5230.56,5509.71,5788.86,6068.01,6347.16,6626.31
1995,Oct,211.18,495.00,778.82,1062.64,1346.45,1630.27,1914.09,2197.91,2481.72,2765.54,3049.36,3333.18,3616.99,3900.81,4184.63,4468.45,4752.26,5036.08,5319.90,5603.72,5887.53,6171.35,6455.17,6738.99
1995,Nov,216.52,505.00,793.48,1081.97,1370.45,1658.94,1947.42,2235.91,2524.39,2812.88,3101.36,3389.85,3678.33,3966.82,4255.30,4543.79,4832.27,5120.76,5409.24,5697.72,5986.21,6274.69,6563.18,6851.66
1995,Dec,221.85,515.00,808.15,1101.30,1394.46,1687.61,1980.76,2273.91,2567.06,2860.21,3153.37,3446.52,3739.67,4032.82,4325.97,4619.13,4912.28,5205.43,5498.58,5791.73,6084.88,6378.04,6671.19,6964.34
1996,Jan,227.18,525.00,822.82,1120.64,1418.46,1716.28,2014.09,2311.91,2609.73,2907.55,3205.37,3503.19,3801.01,4098.83,4396.65,4694.46,4992.28,5290.10,5587.92,5885.74,6183.56,6481.38,6779.20,7077.02
1996,Feb,232.51,535.00,837.49,1139.97,1442.46,1744.94,2047.43,2349.92,2652.40,2954.89,3257.37,3559.86,3862.35,4164.83,4467.32,4769.80,5072.29,5374.78,5677.26,5979.75,6282.23,6584.72,6887.21,7189.69
1996,Mar,237.85,545.00,852.15,1159.31,1466.46,1773.61,2080.77,2387.92,2695.07,3002.22,3309.38,3616.53,3923.68,4230.84,4537.99,4845.14,5152.30,5459.45,5766.60,6073.76,6380.91,6688.06,6995.21,7302.37
1996,Apr,243.18,555.00,866.82,1178.64,1490.46,1802.28,2114.10,2425.92,2737.74,3049.56,3361.38,3673.20,3985.02,4296.84,4608.66,4920.48,5232.30,5544.12,5855.94,6167.76,6479.58,6791.40,7103.22,7415.04
1996,May,248.51,565.00,881.49,1197.97,1514.46,1830.95,2147.44,2463.92,2780.41,3096.90,3413.39,3729.87,4046.36,4362.85,4679.33,4995.82,5312.31,5628.80,5945.28,6261.77,6578.26,6894.74,7211.23,7527.72
1996,Jun,253.85,575.00,896.15,1217.31,1538.46,1859.62,2180.77,2501.93,2823.08,3144.23,3465.39,3786.54,4107.70,4428.85,4750.01,5071.16,5392.32,5713.47,6034.62,6355.78,6676.93,6998.09,7319.24,7640.40
1996,Jul,259.18,585.00,910.82,1236.64,1562.46,1888.29,2214.11,2539.93,2865.75,3191.57,3517.39,3843.21,4169.04,4494.86,4820.68,5146.50,5472.32,5798.14,6123.96,6449.79,6775.61,7101.43,7427.25,7753.07
1996,Aug,264.51,595.00,925.49,1255.98,1586.47,1916.95,2247.44,2577.93,2908.42,3238.91,3569.40,3899.89,4230.37,4560.86,4891.35,5221.84,5552.33,5882.82,6213.30,6543.79,6874.28,7204.77,7535.26,7865.75
1996,Sep,269.84,605.00,940.16,1275.31,1610.47,1945.62,2280.78,2615.93,2951.09,3286.24,3621.40,3956.56,4291.71,4626.87,4962.02,5297.18,5632.33,5967.49,6302.65,6637.80,6972.96,7308.11,7643.27,7978.42
1996,Oct,275.18,615.00,954.82,1294.65,1634.47,1974.29,2314.11,2653.94,2993.76,3333.58,3673.40,4013.23,4353.05,4692.87,5032.70,5372.52,5712.34,6052.16,6391.99,6731.81,7071.63,7411.45,7751.28,8091.10
1996,Nov,280.51,625.00,969.49,1313.98,1658.47,2002.96,2347.45,2691.94,3036.43,3380.92,3725.41,4069.90,4414.39,4758.88,5103.37,5447.86,5792.35,6136.84,6481.33,6825.82,7170.31,7514.80,7859.29,8203.78
1996,Dec,285.84,635.00,984.16,1333.31,1682.47,2031.63,2380.78,2729.94,3079.10,3428.26,3777.41,4126.57,4475.73,4824.88,5174.04,5523.20,5872.35,6221.51,6570.67,6919.82,7268.98,7618.14,7967.29,8316.45
1997,Jan,291.18,645.00,998.82,1352.65,1706.47,2060.30,2414.12,2767.94,3121.77,3475.59,3829.42,4183.24,4537.06,4890.89,5244.71,5598.54,5952.36,6306.18,6660.01,7013.83,7367.66,7721.48,8075.30,8429.13
1997,Feb,296.51,500.00,703.49,906.98,1110.47,1313.96,1517.46,1720.95,1924.44,2127.93,2331.42,2534.91,2738.40,2941.89,3145.38,3348.88,3552.37,3755.86,3959.35,4162.84,4366.33,4569.82,4773.31,4976.80
1997,Mar,301.84,355.00,408.16,461.32,514.47,567.63,620.79,673.95,727.11,780.27,833.42,886.58,939.74,992.90,1046.06,1099.21,1152.37,1205.53,1258.69,1311.85,1365.01,1418.16,1471.32,1524.48
1997,Apr,307.17,210.00,112.83,119.00,125.17,131.35,137.52,143.70,149.87,156.05,162.22,168.40,174.57,180.75,186.92,193.10,199.27,205.45,211.62,217.80,223.97,230.15,236.32,242.49
1997,May,312.51,500.00,687.49,874.98,1062.48,1249.97,1437.46,1624.95,1812.45,1999.94,2187.43,2374.92,2562.42,2749.91,2937.40,3124.89,3312.39,3499.88,3687.37,3874.86,4062.35,4249.85,4437.34,4624.83
1997,Jun,317.84,790.00,1262.16,1734.32,2206.48,2678.64,3150.80,3622.96,4095.12,4567.28,5039.43,5511.59,5983.75,6455.91,6928.07,7400.23,7872.39,8344.55,8816.71,9288.87,9761.03,10233.19,10705.35,11177.51
1997,Jul,323.17,1080.00,1836.83,2593.65,3350.48,4107.31,4864.13,5620.96,6377.79,7134.61,7891.44,8648.27,9405.09,10161.92,10918.74,11675.57,12432.40,13189.22,13946.05,14702.88,15459.70,16216.53,16973.36,17730.18
1997,Aug,328.51,1370.00,2411.49,3452.99,4494.48,5535.97,6577.47,7618.96,8660.46,9701.95,10743.44,11784.94,12826.43,13867.92,14909.42,15950.91,16992.40,18033.90,19075.39,20116.89,21158.38,22199.87,23241.37,24282.86
1997,Sep,333.84,1660.00,2986.16,4312.32,5638.48,6964.64,8290.80,9616.96,10943.13,12269.29,13595.45,14921.61,16247.77,17573.93,18900.09,20226.25,21552.41,22878.57,24204.73,25530.89,26857.05,28183.21,29509.38,30835.54
1997,Oct,339.17,1950.00,3560.83,5171.66,6782.48,8393.31,10004.14,11614.97,13225.79,14836.62,16447.45,18058.28,19669.11,21279.93,22890.76,24501.59,26112.42,27723.24,29334.07,30944.90,32555.73,34166.56,35777.38,37388.21
1997,Nov,344.51,2240.00,4135.49,6030.99,7926.48,9821.98,11717.47,13612.97,15508.46,17403.96,19299.45,21194.95,23090.44,24985.94,26881.43,28776.93,30672.42,32567.92,34463.41,36358.91,38254.40,40149.90,42045.39,43940.89
1997,Dec,349.84,2530.00,4710.16,6890.32,9070.49,11250.65,13430.81,15610.97,17791.13,19971.30,22151.46,24331.62,26511.78,28691.94,30872.11,33052.27,35232.43,37412.59,39592.75,41772.92,43953.08,46133.24,48313.40,50493.56
1998,Jan,355.17,200.00,44.83,99.00,153.17,207.34,261.51,315.68,369.85,424.03,478.20,532.37,586.54,640.71,694.88,749.05,803.22,857.39,911.56,965.73,1019.91,1074.08,1128.25,1182.42
1999,Feb,360.50,500.00,639.50,778.99,918.49,1057.98,1197.48,1336.98,1476.47,1615.97,1755.47,1894.96,2034.46,2173.95,2313.45,2452.95,2592.44,2731.94,2871.43,3010.93,3150.43,3289.92,3429.42,3568.92
2000,Mar,365.84,985.00,1604.16,2223.33,2842.49,3461.65,4080.82,4699.98,5319.14,5938.31,6557.47,7176.63,7795.80,8414.96,9034.12,9653.29,10272.45,10891.61,11510.78,12129.94,12749.10,13368.27,13987.43,14606.59
